50,00 100,00: 1,00000 0,60654; 0,00000 0,00016; 1,00000 0,99984; 50,00000 49,99210; 0,51018 0,49992
100,00 100,00: 1,00000 0,36810; 0,00000 0,00307; 1,00000 0,99693; 100,00000 99,69325; 0,99643 0,99693
150,00 100,00: 1,00000 0,22413; 0,00000 0,01418; 1,00000 0,98582; 150,00000 147,87253; 1,60456 1,47873
200,00 100,00: 1,00000 0,13761; 0,00000 0,03670; 1,00000 0,96330; 200,00000 192,66055; 1,87020 1,92661
250,00 100,00: 1,00000 0,08569; 0,00000 0,06973; 1,00000 0,93027; 250,00000 232,56722; 2,29759 2,32567
300,00 100,00: 1,00000 0,05435; 0,00000 0,11005; 1,00000 0,88995; 300,00000 266,98370; 3,02413 2,66984
350,00 100,00: 0,69661 0,03521; 0,03000 0,15411; 0,97000 0,84589; 339,50000 296,06078; 4,09962 2,96061
400,00 100,00: 0,74821 0,02333; 0,02000 0,19907; 0,98000 0,80093; 392,00000 320,37325; 3,86318 3,20373
450,00 100,00: 0,72934 0,01580; 0,00000 0,24302; 1,00000 0,75698; 450,00000 340,64055; 3,96514 3,40641
500,00 100,00: 0,62151 0,01094; 0,01000 0,28487; 0,99000 0,71513; 495,00000 357,56609; 4,17598 3,57566
550,00 100,00: 0,30841 0,00773; 0,42000 0,32406; 0,58000 0,67594; 319,00000 371,76773; 4,61225 3,71768
600,00 100,00: 0,42888 0,00556; 0,40000 0,36040; 0,60000 0,63960; 360,00000 383,75973; 4,39765 3,83760
650,00 100,00: 0,35639 0,00407; 0,45000 0,39391; 0,55000 0,60609; 357,50000 393,95841; 4,51140 3,93958
700,00 100,00: 0,29466 0,00303; 0,42000 0,42472; 0,58000 0,57528; 406,00000 402,69635; 4,63781 4,02696
750,00 100,00: 0,37969 0,00229; 0,41000 0,45302; 0,59000 0,54698; 442,50000 410,23794; 4,52582 4,10238
800,00 100,00: 0,36543 0,00175; 0,45000 0,47901; 0,55000 0,52099; 440,00000 416,79336; 4,46494 4,16793
850,00 100,00: 0,37448 0,00136; 0,43000 0,50291; 0,57000 0,49709; 484,50000 422,53021; 4,52698 4,22530
900,00 100,00: 0,34694 0,00107; 0,38000 0,52491; 0,62000 0,47509; 558,00000 427,58280; 4,56019 4,27583
950,00 100,00: 0,51218 0,00085; 0,37000 0,54520; 0,63000 0,45480; 598,50000 432,05940; 4,32656 4,32059
1000,00 100,00: 0,37908 0,00068; 0,42000 0,56395; 0,58000 0,43605; 580,00000 436,04782; 4,53432 4,36048
